COD_S11,GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,STRATUM,SISBEN,PEOPLE_HOUSE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,JOB,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,QR_PRO,SEL,SEL_IHE,UNIV_PROG
SB11201210000129,F,Incomplete Professional Education,Complete technique or technology,Technical or professional level employee,Home,Stratum 4,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PRIVATE,ACADEMIC,71,71,2,2,UNIVERSIDAD DE SANTANDER - UDES-BUCARAMANGA_INDUSTRIAL ENGINEERING
SB11201210000137,F,Complete Secundary,Complete professional education,Entrepreneur ,Independent professional,Stratum 5,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,83,97,4,4,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201210005154,M,Not sure,Not sure,Independent,Home,Stratum 2,Level 2,Five,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,"Yes, 20 hours or more per week",PRIVATE,ACADEMIC,52,17,1,1,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C._ELECTRONIC ENGINEERING
SB11201210007504,F,Not sure,Not sure,Other occupation,Independent,Stratum 2,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,56,65,2,2,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA_INDUSTRIAL ENGINEERING
SB11201210007548,M,Complete professional education,Complete professional education,Executive,Home,Stratum 4,It is not classified by the SISBEN,One,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,80,94,4,2,UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA_INDUSTRIAL ENGINEERING
SB11201210007568,F,Complete professional education,Complete professional education,Independent,Executive,Stratum 6,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,71,86,4,2,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA_INDUSTRIAL ENGINEERING
SB11201210007598,M,Complete professional education,Complete professional education,Small entrepreneur ,Executive,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,71,68,2,2,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA_INDUSTRIAL ENGINEERING
SB11201210007615,F,Incomplete Secundary,Complete Secundary,Entrepreneur ,Independent professional,Stratum 6,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10 or more LMMW,No,PRIVATE,ACADEMIC,74,97,4,4,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201210010208,M,Complete Secundary,Complete professional education,Independent,Operator,Stratum 2,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PRIVATE,TECHNICAL,44,51,3,2,UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201210013577,M,Incomplete technical or technological,Incomplete technical or technological,Independent,Home,Stratum 2,Level 2,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,"Yes, 20 hours or more per week",PRIVATE,ACADEMIC,52,13,4,2,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201210015404,F,Not sure,Not sure,Other occupation,Independent professional,Stratum 3,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,74,96,2,4,UNIVERSIDAD DEL NORTE-BARRANQUILLA_INDUSTRIAL ENGINEERING
SB11201210016082,M,Complete technique or technology,Complete Secundary,Technical or professional level employee,Entrepreneur ,Stratum 2,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,"Yes, 20 hours or more per week",PRIVATE,ACADEMIC,54,64,2,2,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C._CIVIL ENGINEERING
SB11201210017060,F,Not sure,Incomplete technical or technological,Small entrepreneur ,Home,Stratum 3,It is not classified by the SISBEN,Five,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,56,41,2,2,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C._CIVIL ENGINEERING
SB11201210019041,M,Complete professional education,Complete professional education,Entrepreneur ,Small entrepreneur ,Stratum 6,It is not classified by the SISBEN,Six,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,76,99,4,4,UNIVERSIDAD EAFIT--MEDELLIN_CIVIL ENGINEERING
SB11201210023458,F,Incomplete primary ,Incomplete primary ,Small entrepreneur ,Executive,Stratum 1,Level 1,Two,No,No,No,No,No,No,No,No,Yes,No,less than 1 LMMW,"Yes, 20 hours or more per week",PRIVATE,ACADEMIC,56,46,1,2,POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201210024129,F,Complete technique or technology,Not sure,Technical or professional level employee,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Two,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,62,89,4,2,INSTITUCION UNIVERSITARIA CENTRO DE ESTUDIOS SUPERIORES MARIA GORETTI-PASTO_ELECTRONIC ENGINEERING
SB11201210024212,M,Complete professional education,Complete professional education,Small entrepreneur ,Executive,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,74,83,4,1,UNIVERSIDAD DE NARIÑO-PASTO_ELECTRONIC ENGINEERING
SB11201210024226,M,Complete professional education,Complete professional education,Independent professional,Independent professional,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,74,85,4,1,UNIVERSIDAD DE NARIÑO-PASTO_ELECTRONIC ENGINEERING
SB11201210024293,M,Complete technique or technology,Complete Secundary,Operator,Independent,Stratum 2,Level 2,Four,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,"Yes, less than 20 hours per week",PRIVATE,ACADEMIC,44,52,2,1,CORPORACION UNIVERSITARIA AUTONOMA DE NARIÑO -AUNAR-PASTO_MECHANICAL ENGINEERING
SB11201210024453,M,Complete professional education,Complete professional education,Technical or professional level employee,Technical or professional level employee,Stratum 3,Esta clasificada en otro Level del SISBEN,Three,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,61,95,2,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_ELECTRONIC ENGINEERING
SB11201210024457,M,Complete professional education,Complete professional education,Independent professional,Executive,Stratum 3,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PRIVATE,TECHNICAL/ACADEMIC,58,99,4,2,UNIVERSIDAD MARIANA-PASTO_CIVIL ENGINEERING
SB11201210024464,M,Incomplete primary ,Incomplete Secundary,Independent,Home,Stratum 2,It is not classified by the SISBEN,Four,Yes,No,Yes,No,No,No,No,No,Yes,Yes,less than 1 LMMW,No,PRIVATE,TECHNICAL/ACADEMIC,60,40,1,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_ELECTRONIC ENGINEERING
SB11201210033482,M,Complete primary ,Incomplete primary ,Independent,Home,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,53,59,2,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_INDUSTRIAL ENGINEERING
SB11201210034473,M,Incomplete primary ,Incomplete primary ,0,0,Stratum 2,It is not classified by the SISBEN,Five,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,TECHNICAL/ACADEMIC,67,94,4,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_CIVIL ENGINEERING
SB11201210034479,M,Complete professional education,Incomplete Professional Education,Executive,Operator,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,TECHNICAL/ACADEMIC,80,96,1,2,UNIVERSIDAD DEL VALLE-CALI_INDUSTRIAL ENGINEERING
SB11201210034510,M,Complete technique or technology,Complete technique or technology,Executive,Home,Stratum 3,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,TECHNICAL/ACADEMIC,83,100,2,2,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C._ELECTRONIC ENGINEERING
SB11201210034773,M,Complete professional education,Complete technique or technology,Technical or professional level employee,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,69,74,3,2,UNIVERSIDAD DEL VALLE-CALI_INDUSTRIAL ENGINEERING
SB11201210034995,M,Postgraduate education,Complete professional education,Executive,Auxiliary or Administrative,Stratum 6,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,85,96,4,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_INDUSTRIAL ENGINEERING
SB11201210035092,F,Complete Secundary,Complete technique or technology,Technical or professional level employee,Home,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,TECHNICAL/ACADEMIC,48,15,4,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_ELECTRIC ENGINEERING
SB11201210035156,F,Complete technique or technology,Complete technique or technology,Executive,Independent,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,TECHNICAL/ACADEMIC,48,46,2,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_INDUSTRIAL ENGINEERING
SB11201210035276,M,Complete Secundary,Incomplete Secundary,Other occupation,Other occupation,Stratum 4,It is not classified by the SISBEN,Twelve or more,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,54,98,2,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_ELECTRIC ENGINEERING AND TELECOMMUNICATIONS
SB11201210035394,M,Complete professional education,Complete professional education,Executive,Other occupation,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,54,98,4,2,UNIVERSIDAD DE SAN BUENAVENTURA-CALI_INDUSTRIAL ENGINEERING
SB11201210035645,M,Complete professional education,Complete Secundary,Independent professional,Independent professional,Stratum 4,It is not classified by the SISBEN,Two,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,80,100,2,2,UNIVERSIDAD DEL VALLE-CALI_MECHANICAL ENGINEERING
SB11201210035831,M,Incomplete Professional Education,Incomplete Professional Education,Independent,Technical or professional level employee,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,80,77,3,4,UNIVERSIDAD ICESI-CALI_INDUSTRIAL ENGINEERING
SB11201210035865,M,Complete professional education,Complete professional education,Small entrepreneur ,Small entrepreneur ,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,58,98,4,4,UNIVERSIDAD ICESI-CALI_INDUSTRIAL ENGINEERING
SB11201210035904,M,Complete professional education,Incomplete Secundary,Technical or professional level employee,Home,Stratum 5,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,74,97,4,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_INDUSTRIAL ENGINEERING
SB11201210035990,M,Complete professional education,Incomplete Professional Education,Executive,Executive,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,61,79,2,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_INDUSTRIAL ENGINEERING
SB11201210035993,M,Complete professional education,Postgraduate education,Small entrepreneur ,Small entrepreneur ,Stratum 3,It is not classified by the SISBEN,Two,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,76,98,4,2,UNIVERSIDAD DEL VALLE-CALI_MECHANICAL ENGINEERING
SB11201210036005,F,Complete professional education,Complete professional education,Independent,Executive,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,62,26,4,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_INDUSTRIAL ENGINEERING
SB11201210036024,M,Complete professional education,Complete Secundary,Independent professional,Home,Stratum 5,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,72,95,4,4,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C._MECHANICAL ENGINEERING
SB11201210036284,F,Not sure,Not sure,0,Home,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,0,PRIVATE,ACADEMIC,60,70,4,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_CIVIL ENGINEERING
SB11201210036425,F,Postgraduate education,Complete Secundary,Technical or professional level employee,Executive,Stratum 4,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,TECHNICAL,50,60,4,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_INDUSTRIAL ENGINEERING
SB11201210036456,F,Complete Secundary,Complete Secundary,Independent,Home,Stratum 3,It is not classified by the SISBEN,Four,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,TECHNICAL,44,31,2,2,UNIVERSIDAD DE IBAGUE-IBAGUE_INDUSTRIAL ENGINEERING
SB11201210036779,M,Complete professional education,Incomplete Professional Education,Small entrepreneur ,Small entrepreneur ,Stratum 2,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,69,96,4,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_MECHANICAL ENGINEERING
