,PROG_UNIV,Frequency
0,INDUSTRIAL ENGINEERING_UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,294
1,INDUSTRIAL ENGINEERING_FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA      -CARTAGENA,209
2,CHEMICAL ENGINEERING_FUNDACION UNIVERSIDAD DE AMERICA-BOGOTÁ D.C.,203
3,INDUSTRIAL ENGINEERING_PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,183
4,CIVIL ENGINEERING_UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,182
5,"CIVIL ENGINEERING_ESCUELA COLOMBIANA DE INGENIERIA""JULIO GARAVITO""-BOGOTÁ D.C.",160
6,"CHEMICAL ENGINEERING_FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",157
7,CIVIL ENGINEERING_UNIVERSIDAD PONTIFICIA BOLIVARIANA-BUCARAMANGA,145
8,CIVIL ENGINEERING_UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,139
9,"CIVIL ENGINEERING_CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA",134
10,CIVIL ENGINEERING_UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,133
11,INDUSTRIAL ENGINEERING_UNIVERSIDAD DE PAMPLONA-PAMPLONA,129
12,CIVIL ENGINEERING_UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-CUCUTA,129
13,INDUSTRIAL ENGINEERING_UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,128
14,INDUSTRIAL ENGINEERING_UNIVERSIDAD DEL NORTE-BARRANQUILLA,126
15,INDUSTRIAL ENGINEERING_UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,123
16,INDUSTRIAL ENGINEERING_UNIVERSIDAD CATOLICA DE COLOMBIA-BOGOTÁ D.C.,122
17,CIVIL ENGINEERING_UNIVERSIDAD CATOLICA DE COLOMBIA-BOGOTÁ D.C.,121
18,"INDUSTRIAL ENGINEERING_ESCUELA COLOMBIANA DE INGENIERIA""JULIO GARAVITO""-BOGOTÁ D.C.",121
19,CIVIL ENGINEERING_UNIVERSIDAD SANTO TOMAS-TUNJA,121
20,"CIVIL ENGINEERING_UNIVERSIDAD MILITAR""NUEVA GRANADA""-BOGOTÁ D.C.",119
21,INDUSTRIAL ENGINEERING_CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-NEIVA,118
22,CIVIL ENGINEERING_UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,118
23,MECHANICAL ENGINEERING_UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,114
24,INDUSTRIAL ENGINEERING_UNIVERSIDAD PONTIFICIA BOLIVARIANA-BUCARAMANGA,112
25,CHEMICAL ENGINEERING_UNIVERSIDAD DE LA SABANA-CHIA,111
26,"INDUSTRIAL ENGINEERING_CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA",108
27,"INDUSTRIAL ENGINEERING_UNIVERSIDAD MILITAR""NUEVA GRANADA""-BOGOTÁ D.C.",107
28,CHEMICAL ENGINEERING_UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,106
29,"INDUSTRIAL ENGINEERING_CORPORACION UNIVERSITARIA DE INVESTIGACION Y DESARROLLO -""UDI""-BUCARAMANGA",106
30,CIVIL ENGINEERING_UNIVERSIDAD LA GRAN COLOMBIA-BOGOTÁ D.C.,102
31,INDUSTRIAL ENGINEERING_UNIVERSIDAD DE IBAGUE-IBAGUE,100
32,CIVIL ENGINEERING_UNIVERSIDAD DEL NORTE-BARRANQUILLA,99
33,INDUSTRIAL ENGINEERING_UNIVERSIDAD DEL ATLANTICO-BARRANQUILLA,99
34,INDUSTRIAL ENGINEERING_UNIVERSIDAD AUTONOMA DEL CARIBE-BARRANQUILLA,98
35,INDUSTRIAL ENGINEERING_UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,94
36,INDUSTRIAL ENGINEERING_UNIVERSIDAD DEL VALLE-CALI,91
37,INDUSTRIAL ENGINEERING_UNIVERSIDAD ICESI-CALI,91
38,"INDUSTRIAL ENGINEERING_UNIVERSIDAD DISTRITAL""FRANCISCO JOSE DE CALDAS""-BOGOTÁ D.C.",91
39,CIVIL ENGINEERING_UNIVERSIDAD DE IBAGUE-IBAGUE,89
40,INDUSTRIAL ENGINEERING_CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-BOGOTÁ D.C.,88
41,INDUSTRIAL ENGINEERING_POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,86
42,MECHANICAL ENGINEERING_UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,86
43,INDUSTRIAL ENGINEERING_UNIVERSIDAD TECNOLOGICA DE BOLIVAR-CARTAGENA,85
44,INDUSTRIAL ENGINEERING_UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-CUCUTA,84
45,INDUSTRIAL ENGINEERING_UNIVERSIDAD SIMON BOLIVAR-BARRANQUILLA,82
46,CIVIL ENGINEERING_UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,82
47,CIVIL ENGINEERING_PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,79
48,"CATASTRAL ENGINEERING AND GEODESY_UNIVERSIDAD DISTRITAL""FRANCISCO JOSE DE CALDAS""-BOGOTÁ D.C.",78
49,INDUSTRIAL ENGINEERING_UNIVERSIDAD DE LA SABANA-CHIA,78
50,INDUSTRIAL ENGINEERING_UNIVERSIDAD LIBRE-BOGOTÁ D.C.,76
51,CHEMICAL ENGINEERING_UNIVERSIDAD DE CARTAGENA-CARTAGENA,75
